Name,Crystal Structure,Diaphaneity,Specific Gravity,Optical,Refractive Index,Molar Mass,Molar Volume,Calculated Density
Fourmarierite,3.0,3.0,0.0,0.0,0.0,1752.6437999999996,0.1458146,9.976
Francevillite,3.0,3.0,4.55,4.0,1.893,783.5387999999998,0.06730823999999999,9.662
Frankamenite,1.0,2.0,2.68,4.0,1.5390000000000001,1465.8050820000005,0.3589682,3.389
Frankdicksonite,0.0,3.0,4.89,2.0,1.475,156.325403,0.0112411,11.542
Frankhawthorneite,0.0,0.0,0.0,0.0,0.0,240.1528,0.02243749,8.884
Gananite,6.0,1.0,8.927999999999999,2.0,0.0,303.97238500000003,0.056031399999999995,4.503
Gaspeite,5.0,0.0,3.71,3.0,1.724,86.7038,0.0112079,6.421
Gatehouseite,3.0,3.0,0.0,4.0,1.425,738.676514,0.17931315,3.4189999999999996
Gaylussite,2.0,0.0,1.96,4.0,1.494,176.114868,0.12328101,1.186
Gedrite,3.0,2.0,3.255,4.0,1.681,818.584214,0.15697902000000002,4.328
Gehlenite,4.0,0.0,0.0,0.0,0.0,143.143239,0.033635990000000004,3.532
Geigerite,1.0,2.0,3.05,4.0,1.63,533.7368700000001,0.26890625,1.6469999999999998
Geikielite,5.0,1.0,3.995,3.0,2.155,88.18440000000002,0.0112206,6.523
Georgerobinsonite,0.0,0.0,0.0,0.0,0.0,585.8527429999998,0.07826982999999997,6.212999999999999
